Like a Rolling Stone,Bob Dylan,06:09
Smells Like Teen Spirit,Nirvana,05:01
A Day In The Life - Remastered 2009,The Beatles,05:37
Good Vibrations (Mono,The Beach Boys,03:39
Johnny B. Goode,Chuck Berry,02:41
Respect,Aretha Franklin,02:27
Be My Baby,The Ronettes,02:40
What's Going On,Marvin Gaye,03:53
I Heard It Through The Grapevine,Marvin Gaye,03:14
(I Can't Get No) Satisfaction - Mono Versio,The Rolling Stones,03:42
Billie Jean,Michael Jackson,04:53
Heartbreak Hotel,Elvis Presley,02:07
Born to Run,Bruce Springsteen,04:29
My Generation - Stereo Version,The Who,03:18
Love Will Tear Us Apart,Joy Division,03:26
God Only Knows - Mono / 1997 Remastered,The Beach Boys,02:53
(Sittin' On) the Dock of the Ba,Otis Redding,02:46
Hey Ya!,Outkast,03:55
Anarchy In The UK,Sex Pistols,03:32
Paper Planes,M.I.A.,03:25
London Calling - Remastered,The Clash,03:20
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,06:18
Strawberry Fields Forever - Remastered 2009,The Beatles,04:07
Tutti Frutti,Little Richard,02:24
Stairway to Heaven - Remaster,Led Zeppelin,08:02
The Message - Extended Version,Grandmaster Flash & The Furious Five,07:10
What'd I Say& Pt. 1 & 2,Ray Charles,06:31
Imagine - Remastered 2010,John Lennon,03:07
A Change Is Gonna Come,Sam Cooke,03:11
Heroes - 2017 Remaster,David Bowie,06:11
When Doves Cry,Prince,05:52
Superstition,Stevie Wonder,04:26
Common People,Pulp,05:51
Gimme Shelter,The Rolling Stones,04:30
Strange Fruit,Billie Holiday,03:12
You Really Got Me - Mono Mix,The Kinks,02:14
Crazy In Love (feat. Jay-Z,Beyoncé& JAY-Z,03:56
Seven Nation Army,The White Stripes,03:52
Losing My Religion,R.E.M.,04:28
God Save The Queen,Sex Pistols,03:19
Bohemian Rhapsody - Remastered 2011,Queen,05:54
Blue Monday,New Order,07:29
Purple Haze,Jimi Hendrix,02:50
Louie Louie,The Kingsmen,02:45
I Want You Back,The Jackson 5,02:56
Crazy,Gnarls Barkley,02:57
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,03:44
Hey Jude - Remastered 2015,The Beatles,07:05
Waterloo Sunset - Mono Mix,The Kinks,03:14
Take Me Out,Franz Ferdinand,03:57
Get Ur Freak On,Missy Elliott,03:57
That'll Be The Day,Buddy Holly,02:30
Light My Fire,The Doors,07:09
I Feel Love,Donna Summer,03:21
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,04:04
Space Oddity - 2015 Remaster,David Bowie,05:18
Stand by Me,Ben E. King,02:55
Mr. Tambourine Man,The Byrds,02:29
Bitter Sweet Symphony,The Verve,05:57
(We're Gonna) Rock Around The Cloc,Bill Haley & His Comets,02:09
Layla,Derek & The Dominos,07:03
River Deep - Mountain High,Ike & Tina Turner,03:34
Unfinished Sympathy - 2012 Mix/Master,Massive Attack,05:08
Loser,Beck,03:55
Fight The Power,Public Enemy,04:42
Once in a Lifetime - 2005 Remaster,Talking Heads,04:19
Paranoid Android,Radiohead,06:27
Whole Lotta Love - Remaster,Led Zeppelin,05:34
Alright,Kendrick Lamar,03:39
House of the Rising Sun,The Animals,04:29
Walk On the Wild Side,Lou Reed,04:14
Hotel California - 2013 Remaster,Eagles,06:31
99 Problems,JAY-Z,03:54
Dancing On My Own,Robyn,04:45
Formation,Beyoncé,03:26
Let's Stay Together,Al Green,03:19
Jumpin' Jack Flash,The Rolling Stones,03:42
All My Friends,LCD Soundsystem,07:42
California Dreamin' - Single Version,The Mamas & The Papas,02:42
Blitzkrieg Bop - 2001 Remaster,Ramones,02:12
Dancing In The Street - Stereo,Martha Reeves & The Vandellas,02:45
Hound Dog,Elvis Presley,02:13
Oblivion,Grimes,04:11
I Want To Hold Your Hand - Remastered 2015,The Beatles,02:25
All Along the Watchtower,Jimi Hendrix,04:00
Nothing Compares 2 U,Sinéad O'Connor,04:40
How Soon Is Now? - 2011 Remaster,The Smiths,06:48
Sweet Child O' Mine,Guns N' Roses,05:54
For What It's Worth,Buffalo Springfield,02:33
The Weight - Remastered 2000,The Band,04:34
Runaway,Kanye West& Pusha T,09:07
Ghost Town - 2015 Remaster,The Specials,06:00
Royals,Lorde,03:10
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edi,Daft Punk& Pharrell Williams& Nile Rodgers,04:08
Suspicious Minds,Elvis Presley,04:21
Life on Mars? - 2015 Remaster,David Bowie,03:55
Reach Out I'll Be There - Single Version / Mono,Four Tops,02:59
That's All Right,Elvis Presley,01:55
Get Up I Feel Like Being Like A Sex Machine& Pts. 1 & 2,James Brown& The Original J.B.s,05:18
Wonderwall - Remastered,Oasis,04:18